id,date,user_id,user_username,user_displayname,replyCount,retweetCount,likeCount,quoteCount,viewCount,searched_keyword,cleaned_text,hashtag_text,year,month_year,Sentiment
1801609634169438304,2024-06-14 13:36:23+00:00,1142736007567069184,SUBRATA30016572,Trump Lover,2003,1011,6344,89,55910.0,TrumpIsMyPresident LoveTrump  until 2025-04-20 since  2024-12-06,Drop a to spread the message! President Trump will be reelected Nov. 5Th in a landslide!.,,2024,2024-06,2
1803068935010504954,2024-06-18 14:15:08+00:00,1142736007567069184,SUBRATA30016572,Trump Lover,1061,812,3086,59,34800.0,TrumpIsMyPresident LoveTrump  until 2025-04-20 since  2024-12-06,Only 140 Days left for Donald Trump to become the next President of America. Drop a and Repost if you also support Trump for the President of America!,,2024,2024-06,2
1812263366322487762,2024-07-13 23:10:31+00:00,1277218919737147394,HopeAnagli,Big Anagli,7,25,223,5,34577.0,Trump2024 TrumpWon Election2024 until 2025-04-20 since 2025-01-01,Donald Trump just won the election now.,TrumpIsProject2025,2024,2024-07,2
1832136525691461733,2024-09-06 19:19:21+00:00,431777800,HSajwanization,Hassan Sajwani,21,29,349,4,10699.0,Trump2024 TrumpWon Election2024 until 2025-04-20 since 2025-01-01,Trump already won U.S. Presidential elections 2024,,2024,2024-09,2
1854059179280859646,2024-11-06 07:12:09+00:00,354347533,mymixtapez,My Mixtapez,45,131,882,22,54221.0,Trump2024 TrumpWon Election2024 until 2025-04-20 since 2025-01-01,Donald Trump has won the 2024 Presidential Election and will return as President again in 2025! Via XFox News,,2024,2024-11,2
1876338337457340759,2025-01-06 18:41:34+00:00,4239551,amuse,amuse,35,144,828,3,13939.0,Trump2024 TrumpWon Election2024 until 2025-04-20 since 2025-01-01,Donald Trump officially declared as the winner of the 2024 presidential election.,,2025,2025-01,2
1910167964332269620,2025-04-10 03:08:26+00:00,1663701168839872512,MAGAVoice,MAGA Voice,107,168,833,7,20676.0,Trump2024 TrumpWon Election2024 until 2025-04-20 since 2025-01-01,PRESIDENT DONALD J TRUMP WAS RIGHT AGAIN PRESIDENT DONALD J TRUMP WAS RIGHT AGAIN PRESIDENT DONALD J TRUMP WAS RIGHT AGAIN PRESIDENT DONALD J TRUMP WAS RIGHT AGAIN PRESIDENT DONALD J TRUMP WAS RIGHT AGAIN PRESIDENT DONALD J TRUMP WAS RIGHT AGAIN,,2025,2025-04,2
1913216913620021706,2025-04-18 13:03:52+00:00,1652712101046091777,Tom83574046922,Tom,0,0,0,0,15.0,Trump2024 TrumpWon Election2024 until 2025-04-20 since 2025-01-01,TRUMP FOR THE WIN AGAIN!!!,,2025,2025-04,2
1913725081248997733,2025-04-19 22:43:09+00:00,1768865681066348544,MyAngel311534,My Angel,0,0,1,0,15.0,Trump2024 TrumpWon Election2024 until 2025-04-20 since 2025-01-01,"Donaldtrumpike knee deep in the hoopla, we won the race Nov 2024 They have treated us awful, Look what they did to Trump ! It is all coming out. The DemoRATs are,,, S c a r e d Happy 90 days DJT. Happy Easter, if you Celebrate. Happy 90 days in office, tomorrow. Jan 20 April 20",,2025,2025-04,2
1913936155084533786,2025-04-20 12:41:53+00:00,1758135552396910593,Nancy3997331092,Nancy,0,0,0,0,3.0,Trump2024 TrumpWon Election2024 until 2025-04-20 since 2025-01-01,"EndWokeness UM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, TRUMP WON!!!!!!!!!!!!!!!!",,2025,2025-04,2
1914083928383824304,2025-04-20 22:29:05+00:00,1720665183188922368,grok,Grok,1,0,0,0,27.0,Trump2024 TrumpWon Election2024 until 2025-04-20 since 2025-01-01,"SirPortAmeri elonmusk I apologize for the confusion in my earlier response. Im not tired, just working with the data I had! As of April 20, 2025, Donald Trump is indeed the president, having been inaugurated on January 20, 2025, after winning the 2024 election. My previous answer mistakenly assumed",,2025,2025-04,2
1914085953813033008,2025-04-20 22:37:08+00:00,1213184493281890304,trumboni1,Trumponi,0,0,0,0,14.0,Trump2024 TrumpWon Election2024 until 2025-04-20 since 2025-01-01,We elected president Trump,,2025,2025-04,2
1914402373696667910,2025-04-21 19:34:28+00:00,17427231,DowntownDan,DowntownDan,0,0,0,0,7.0,Trump2024 TrumpWon Election2024 until 2025-04-20 since 2025-01-01,Winning winning winning! MAGA TRUMP WINS!,,2025,2025-04,2
1914744457041469789,2025-04-22 18:13:47+00:00,4451026282,thebigtimeyank2,John Downey,0,0,0,0,5.0,Trump2024 TrumpWon Election2024 until 2025-04-20 since 2025-01-01,TRUMP WINS AGAIN ELECTED AGAIN . Thanks PRESIDENT TRUMP FOR BACKING THE AMERICAN PEOPLE AND FIGHTING BACK AGAINST THE LEFTIST POLITICS SINKING AMERICA QUICKLY LIEING SHIELDING THEMSELVES CHARGING OPPOSITION LOLOL REMEMBER NOVEMBER 5TH,,2025,2025-04,2
1915667342572351669,2025-04-25 07:21:00+00:00,2417794718,MathieuPasquini,Mathieu Boogieplayer Pasquini,0,0,0,0,25.0,Trump2024 TrumpWon Election2024 until 2025-04-20 since 2025-01-01,"Donald Trump was inaugurated as President of the United States on January 20, 2025, 95 days ago today is April 25, 2025. He will remain in office until January 20, 2029, in 1366 days. Thats 6.50 of the term completed, and 93.50 remaining. panama, unresolved china won't",,2025,2025-04,2
